{'--batchsize': '8192',
 '--device': '0',
 '--dump-every': '900',
 '--help': False,
 '--nhidden': '256',
 '--nlatent': '16',
 '--runtime': '3600',
 '--time-print': '1',
 '--time-sample': '120',
 '--vae-samples': '10',
 '--vis': None,
 '-o': 'vae_10',
 '<data.mat>': '../data/MSRC12-X-d60.mat'}
Using chainer version 1.22.0
702551 instances, 60 dimensions
256 hidden dimensions
16 latent VAE dimensions
Using 10 VAE samples per instance
Using a batchsize of 8192 instances
   345.4s of 3600.0s  [206] batch 412, E[obj] -36.0883,  9832.52 S/s, 3375104 total
   347.1s of 3600.0s  [207] batch 414, E[obj] -35.5719,  9669.19 S/s, 3391488 total
   348.7s of 3600.0s  [208] batch 416, E[obj] -33.9298,  9915.55 S/s, 3407872 total
   350.4s of 3600.0s  [209] batch 418, E[obj] -36.1647,  9807.14 S/s, 3424256 total
   352.1s of 3600.0s  [210] batch 420, E[obj] -40.7073,  9766.83 S/s, 3440640 total
   353.8s of 3600.0s  [211] batch 422, E[obj] -37.7907,  9670.58 S/s, 3457024 total
   355.5s of 3600.0s  [212] batch 424, E[obj] -42.3983,  9742.50 S/s, 3473408 total
   357.1s of 3600.0s  [213] batch 426, E[obj] -43.5556,  9720.39 S/s, 3489792 total
   358.8s of 3600.0s  [214] batch 428, E[obj] -44.4956,  9851.66 S/s, 3506176 total
   360.5s of 3600.0s  [215] batch 430, E[obj] -43.6150,  9866.18 S/s, 3522560 total
   362.2s of 3600.0s  [216] batch 432, E[obj] -46.4631,  9700.49 S/s, 3538944 total
   # sampling
   363.9s of 3600.0s  [217] batch 434, E[obj] -32.5280,  9473.95 S/s, 3555328 total
   365.6s of 3600.0s  [218] batch 436, E[obj] -41.2236,  9780.63 S/s, 3571712 total
   367.2s of 3600.0s  [219] batch 438, E[obj] -46.5154,  9728.70 S/s, 3588096 total
   368.9s of 3600.0s  [220] batch 440, E[obj] -47.3766,  9705.40 S/s, 3604480 total
   370.6s of 3600.0s  [221] batch 442, E[obj] -46.3423,  9638.93 S/s, 3620864 total
   372.3s of 3600.0s  [222] batch 444, E[obj] -49.3115,  9917.81 S/s, 3637248 total
   374.0s of 3600.0s  [223] batch 446, E[obj] -47.9665,  9656.68 S/s, 3653632 total
   375.7s of 3600.0s  [224] batch 448, E[obj] -43.9756,  9730.54 S/s, 3670016 total
   377.3s of 3600.0s  [225] batch 450, E[obj] -45.2184,  9727.97 S/s, 3686400 total
   379.0s of 3600.0s  [226] batch 452, E[obj] -49.4409,  9976.36 S/s, 3702784 total
   380.7s of 3600.0s  [227] batch 454, E[obj] -44.4206,  9845.07 S/s, 3719168 total
   382.3s of 3600.0s  [228] batch 456, E[obj] -38.4300,  9904.25 S/s, 3735552 total
   384.0s of 3600.0s  [229] batch 458, E[obj] 4.1981,  9689.26 S/s, 3751936 total
   385.7s of 3600.0s  [230] batch 460, E[obj] -9.8315,  9774.93 S/s, 3768320 total
   387.4s of 3600.0s  [231] batch 462, E[obj] -30.1217,  9702.65 S/s, 3784704 total
   389.1s of 3600.0s  [232] batch 464, E[obj] -33.0735,  9600.14 S/s, 3801088 total
   390.7s of 3600.0s  [233] batch 466, E[obj] -24.4194,  9835.85 S/s, 3817472 total
   392.4s of 3600.0s  [234] batch 468, E[obj] -33.0979,  9701.57 S/s, 3833856 total
   394.1s of 3600.0s  [235] batch 470, E[obj] -26.2309,  9690.15 S/s, 3850240 total
   395.8s of 3600.0s  [236] batch 472, E[obj] -29.8253,  9850.62 S/s, 3866624 total
   397.5s of 3600.0s  [237] batch 474, E[obj] -35.0470,  9689.99 S/s, 3883008 total
   399.2s of 3600.0s  [238] batch 476, E[obj] -35.2938,  9701.53 S/s, 3899392 total
   400.8s of 3600.0s  [239] batch 478, E[obj] -35.1501,  9699.24 S/s, 3915776 total
   402.5s of 3600.0s  [240] batch 480, E[obj] -39.2737,  9636.05 S/s, 3932160 total
   404.2s of 3600.0s  [241] batch 482, E[obj] -38.3019,  9878.16 S/s, 3948544 total
   405.9s of 3600.0s  [242] batch 484, E[obj] -39.2523,  9622.17 S/s, 3964928 total
   407.6s of 3600.0s  [243] batch 486, E[obj] -39.5179,  9711.96 S/s, 3981312 total
   409.3s of 3600.0s  [244] batch 488, E[obj] -38.0626,  9737.75 S/s, 3997696 total
   411.0s of 3600.0s  [245] batch 490, E[obj] -40.4409,  9554.87 S/s, 4014080 total
   412.7s of 3600.0s  [246] batch 492, E[obj] -42.9956,  9689.18 S/s, 4030464 total
   414.4s of 3600.0s  [247] batch 494, E[obj] -46.3053,  9699.25 S/s, 4046848 total
   416.0s of 3600.0s  [248] batch 496, E[obj] -46.3468,  9947.16 S/s, 4063232 total
   417.7s of 3600.0s  [249] batch 498, E[obj] -47.8991,  9749.56 S/s, 4079616 total
   419.4s of 3600.0s  [250] batch 500, E[obj] -34.2149,  9797.82 S/s, 4096000 total
   421.1s of 3600.0s  [251] batch 502, E[obj] -35.9890,  9741.14 S/s, 4112384 total
   422.8s of 3600.0s  [252] batch 504, E[obj] -41.0360,  9659.92 S/s, 4128768 total
   424.5s of 3600.0s  [253] batch 506, E[obj] -42.8519,  9634.70 S/s, 4145152 total
   426.1s of 3600.0s  [254] batch 508, E[obj] -38.8109,  9713.76 S/s, 4161536 total
   427.8s of 3600.0s  [255] batch 510, E[obj] -41.1118,  9844.01 S/s, 4177920 total
   429.5s of 3600.0s  [256] batch 512, E[obj] -38.6483,  9884.21 S/s, 4194304 total
   431.1s of 3600.0s  [257] batch 514, E[obj] -40.0886,  9723.55 S/s, 4210688 total
   432.8s of 3600.0s  [258] batch 516, E[obj] -41.8923,  9954.31 S/s, 4227072 total
   434.5s of 3600.0s  [259] batch 518, E[obj] -43.8847,  9640.80 S/s, 4243456 total
   436.2s of 3600.0s  [260] batch 520, E[obj] -42.6438,  9757.73 S/s, 4259840 total
   437.9s of 3600.0s  [261] batch 522, E[obj] -45.2775,  9647.86 S/s, 4276224 total
