{'--batchsize': '8192',
 '--device': '0',
 '--dump-every': '900',
 '--help': False,
 '--nhidden': '256',
 '--nlatent': '16',
 '--runtime': '3600',
 '--time-print': '1',
 '--time-sample': '120',
 '--vae-samples': '25',
 '--vis': None,
 '-o': 'vae_25',
 '<data.mat>': '../data/MSRC12-X-d60.mat'}
Using chainer version 1.22.0
702551 instances, 60 dimensions
256 hidden dimensions
16 latent VAE dimensions
Using 25 VAE samples per instance
Using a batchsize of 8192 instances
   347.0s of 3600.0s  [225] batch 450, E[obj] nan,  10681.74 S/s, 3686400 total
   348.5s of 3600.0s  [226] batch 452, E[obj] nan,  10807.87 S/s, 3702784 total
   350.0s of 3600.0s  [227] batch 454, E[obj] nan,  10801.02 S/s, 3719168 total
   351.6s of 3600.0s  [228] batch 456, E[obj] nan,  10781.10 S/s, 3735552 total
   353.1s of 3600.0s  [229] batch 458, E[obj] nan,  10716.49 S/s, 3751936 total
   354.6s of 3600.0s  [230] batch 460, E[obj] nan,  10782.67 S/s, 3768320 total
   356.1s of 3600.0s  [231] batch 462, E[obj] nan,  10769.74 S/s, 3784704 total
   357.7s of 3600.0s  [232] batch 464, E[obj] nan,  10660.82 S/s, 3801088 total
   359.2s of 3600.0s  [233] batch 466, E[obj] nan,  10876.58 S/s, 3817472 total
   360.7s of 3600.0s  [234] batch 468, E[obj] nan,  10900.68 S/s, 3833856 total
   # sampling
   362.2s of 3600.0s  [235] batch 470, E[obj] nan,  10600.10 S/s, 3850240 total
   363.8s of 3600.0s  [236] batch 472, E[obj] nan,  10719.36 S/s, 3866624 total
   365.3s of 3600.0s  [237] batch 474, E[obj] nan,  10757.65 S/s, 3883008 total
   366.8s of 3600.0s  [238] batch 476, E[obj] nan,  10571.17 S/s, 3899392 total
   368.4s of 3600.0s  [239] batch 478, E[obj] nan,  10702.59 S/s, 3915776 total
   369.9s of 3600.0s  [240] batch 480, E[obj] nan,  10706.44 S/s, 3932160 total
   371.4s of 3600.0s  [241] batch 482, E[obj] nan,  10809.95 S/s, 3948544 total
   372.9s of 3600.0s  [242] batch 484, E[obj] nan,  10808.09 S/s, 3964928 total
   374.5s of 3600.0s  [243] batch 486, E[obj] nan,  10701.65 S/s, 3981312 total
   376.0s of 3600.0s  [244] batch 488, E[obj] nan,  10672.11 S/s, 3997696 total
   377.5s of 3600.0s  [245] batch 490, E[obj] nan,  10739.51 S/s, 4014080 total
   379.0s of 3600.0s  [246] batch 492, E[obj] nan,  10850.54 S/s, 4030464 total
   380.5s of 3600.0s  [247] batch 494, E[obj] nan,  10734.18 S/s, 4046848 total
   382.1s of 3600.0s  [248] batch 496, E[obj] nan,  10865.52 S/s, 4063232 total
   383.6s of 3600.0s  [249] batch 498, E[obj] nan,  10718.40 S/s, 4079616 total
   385.1s of 3600.0s  [250] batch 500, E[obj] nan,  10589.81 S/s, 4096000 total
   386.7s of 3600.0s  [251] batch 502, E[obj] nan,  10723.45 S/s, 4112384 total
   388.2s of 3600.0s  [252] batch 504, E[obj] nan,  10809.26 S/s, 4128768 total
   389.7s of 3600.0s  [253] batch 506, E[obj] nan,  10810.18 S/s, 4145152 total
   391.2s of 3600.0s  [254] batch 508, E[obj] nan,  10764.56 S/s, 4161536 total
   392.8s of 3600.0s  [255] batch 510, E[obj] nan,  10615.25 S/s, 4177920 total
   394.3s of 3600.0s  [256] batch 512, E[obj] nan,  10787.81 S/s, 4194304 total
   395.8s of 3600.0s  [257] batch 514, E[obj] nan,  10712.89 S/s, 4210688 total
   397.3s of 3600.0s  [258] batch 516, E[obj] nan,  10662.67 S/s, 4227072 total
   398.9s of 3600.0s  [259] batch 518, E[obj] nan,  10757.92 S/s, 4243456 total
   400.4s of 3600.0s  [260] batch 520, E[obj] nan,  10760.61 S/s, 4259840 total
   401.9s of 3600.0s  [261] batch 522, E[obj] nan,  10797.87 S/s, 4276224 total
   403.4s of 3600.0s  [262] batch 524, E[obj] nan,  10672.56 S/s, 4292608 total
   405.0s of 3600.0s  [263] batch 526, E[obj] nan,  10793.36 S/s, 4308992 total
   406.5s of 3600.0s  [264] batch 528, E[obj] nan,  10498.11 S/s, 4325376 total
   408.1s of 3600.0s  [265] batch 530, E[obj] nan,  10652.28 S/s, 4341760 total
   409.6s of 3600.0s  [266] batch 532, E[obj] nan,  10650.38 S/s, 4358144 total
   411.1s of 3600.0s  [267] batch 534, E[obj] nan,  10808.34 S/s, 4374528 total
   412.7s of 3600.0s  [268] batch 536, E[obj] nan,  10620.71 S/s, 4390912 total
   414.2s of 3600.0s  [269] batch 538, E[obj] nan,  10803.85 S/s, 4407296 total
   415.7s of 3600.0s  [270] batch 540, E[obj] nan,  10752.14 S/s, 4423680 total
   417.2s of 3600.0s  [271] batch 542, E[obj] nan,  10828.83 S/s, 4440064 total
   418.7s of 3600.0s  [272] batch 544, E[obj] nan,  10825.52 S/s, 4456448 total
   420.2s of 3600.0s  [273] batch 546, E[obj] nan,  10767.16 S/s, 4472832 total
   421.8s of 3600.0s  [274] batch 548, E[obj] nan,  10797.79 S/s, 4489216 total
   423.3s of 3600.0s  [275] batch 550, E[obj] nan,  10826.48 S/s, 4505600 total
   424.8s of 3600.0s  [276] batch 552, E[obj] nan,  10785.19 S/s, 4521984 total
   426.3s of 3600.0s  [277] batch 554, E[obj] nan,  10740.85 S/s, 4538368 total
   427.8s of 3600.0s  [278] batch 556, E[obj] nan,  10873.50 S/s, 4554752 total
